,X,Age,Education,Marital.Status,Gender,Income
1,1,39,None Higher Education,Not Married,Male,49.22497851
2,2,50,None Higher Education,Married,Male,58.70934999
3,3,38,Higher Education,Not Married,Male,21.10835772
4,4,53,None Higher Education,Married,Male,30.41080051
5,5,28,None Higher Education,Married,Female,36.2341256
6,6,37,Higher Education,Married,Female,27.32683446
7,7,49,None Higher Education,Married,Female,72.29545444
8,8,52,Higher Education,Married,Male,43.96696808
9,9,31,Higher Education,Not Married,Female,21.83907382
10,10,42,None Higher Education,Married,Male,47.92665293
11,11,37,Higher Education,Married,Male,29.16537447
12,12,30,None Higher Education,Married,Male,66.75308973
13,13,23,None Higher Education,Not Married,Female,51.32747414
14,14,32,None Higher Education,Not Married,Male,37.83844564
15,15,40,None Higher Education,Married,Male,53.47464955
16,16,34,None Higher Education,Married,Male,63.47169681
17,17,25,Higher Education,Not Married,Male,23.77815971
18,18,32,Higher Education,Not Married,Male,29.45116074
19,19,38,None Higher Education,Married,Male,39.60463486
20,20,43,Higher Education,Not Married,Female,22.4675091
21,21,40,Higher Education,Married,Male,30.0305697
22,22,54,Higher Education,Not Married,Female,4.922997665
23,23,35,None Higher Education,Married,Male,49.6377029
24,24,43,None Higher Education,Married,Male,54.81797459
25,25,59,Higher Education,Not Married,Female,37.9029497
26,26,56,None Higher Education,Married,Male,51.09877878
27,27,19,Higher Education,Not Married,Male,31.43383208
28,28,54,Higher Education,Married,Male,21.90950687
29,29,39,Higher Education,Not Married,Male,33.41813738
30,30,49,Higher Education,Married,Male,37.63221552
31,31,23,None Higher Education,Not Married,Male,60.17699959
32,32,20,Higher Education,Not Married,Male,39.75423307
33,33,45,None Higher Education,Not Married,Male,49.69734588
34,34,30,Higher Education,Married,Male,31.5297406
35,35,22,Higher Education,Married,Male,26.50543794
36,36,48,None Higher Education,Not Married,Male,26.43291019
37,37,21,Higher Education,Not Married,Male,24.61357301
38,38,19,Higher Education,Married,Female,16.39154018
39,39,31,Higher Education,Married,Male,20.64638265
40,40,48,None Higher Education,Married,Male,33.21883663
41,41,31,None Higher Education,Married,Male,39.84395491
42,42,53,None Higher Education,Married,Male,64.56598526
43,43,24,None Higher Education,Married,Male,37.9422831
44,44,49,Higher Education,Not Married,Female,13.61306145
45,45,25,Higher Education,Not Married,Male,11.69300882
46,46,57,None Higher Education,Married,Male,37.70600668
47,47,53,Higher Education,Married,Male,36.64524841
48,48,44,Higher Education,Not Married,Female,40.61579005
49,49,41,None Higher Education,Married,Male,68.89191697
50,50,29,None Higher Education,Not Married,Male,46.39647501
51,51,25,Higher Education,Married,Female,35.59210612
52,52,18,Higher Education,Not Married,Female,34.01485509
53,53,47,Higher Education,Married,Female,23.25246521
54,54,50,None Higher Education,Not Married,Male,51.10133528
55,55,47,Higher Education,Not Married,Male,43.8331431
56,56,43,Higher Education,Married,Male,19.48521271
57,57,46,None Higher Education,Married,Male,59.62379289
58,58,35,None Higher Education,Married,Male,40.51498845
59,59,41,Higher Education,Married,Male,11.33477865
60,60,30,Higher Education,Married,Male,34.48614183
61,61,30,None Higher Education,Married,Male,69.22442926
62,62,32,None Higher Education,Married,Male,52.10016496
63,63,48,Higher Education,Married,Male,48.68269734
64,64,42,Higher Education,Married,Male,16.10077876
65,65,29,Higher Education,Not Married,Male,27.28244751
66,66,36,Higher Education,Married,Male,22.56621438
67,67,28,Higher Education,Not Married,Female,30.73709722
68,68,53,Higher Education,Married,Female,39.72906213
69,69,49,Higher Education,Married,Male,15.52787115
70,70,25,Higher Education,Not Married,Male,39.60966782
71,71,19,Higher Education,Not Married,Male,29.24823808
72,72,31,None Higher Education,Not Married,Female,57.19757056
73,73,29,None Higher Education,Married,Male,44.88298981
74,74,23,Higher Education,Not Married,Male,27.40508332
75,75,79,Higher Education,Married,Male,26.8406775
76,76,27,Higher Education,Not Married,Male,41.7152535
77,77,40,None Higher Education,Married,Male,48.60835223
78,78,67,None Higher Education,Married,Male,40.42084283
79,79,18,None Higher Education,Not Married,Female,58.48892651
80,80,31,None Higher Education,Married,Male,47.64939072
81,81,18,Higher Education,Not Married,Male,20.85673502
82,82,52,None Higher Education,Married,Male,71.92234464
83,83,46,Higher Education,Married,Female,38.2111323
84,84,59,Higher Education,Married,Male,28.66547247
85,85,44,Higher Education,Not Married,Female,36.07533644
86,86,53,Higher Education,Not Married,Female,42.6843389
87,87,49,Higher Education,Married,Male,13.7331015
88,88,33,Higher Education,Married,Male,38.86712673
89,89,30,None Higher Education,Not Married,Male,21.43738758
90,90,43,Higher Education,Not Married,Female,33.40949792
91,91,57,None Higher Education,Married,Male,71.81747173
92,92,37,Higher Education,Not Married,Female,16.88577931
93,93,28,Higher Education,Not Married,Female,30.4168272
94,94,30,Higher Education,Married,Female,28.80634092
95,95,34,None Higher Education,Married,Male,53.93626521
96,96,29,Higher Education,Not Married,Male,37.97007847
97,97,48,Higher Education,Married,Male,34.23179745
98,98,37,Higher Education,Married,Male,36.5379217
99,99,48,None Higher Education,Not Married,Female,53.08931442
100,100,32,Higher Education,Not Married,Male,40.67954538
101,101,76,Higher Education,Married,Male,41.35077956
102,102,44,None Higher Education,Married,Male,40.00038997
103,103,47,Higher Education,Not Married,Female,19.70262127
104,104,20,Higher Education,Not Married,Female,15.04210077
105,105,29,Higher Education,Not Married,Male,30.85839784
106,106,32,Higher Education,Married,Male,35.87528297
107,107,17,None Higher Education,Not Married,Female,56.76012437
108,108,30,None Higher Education,Not Married,Male,41.15022196
109,109,31,Higher Education,Not Married,Female,34.85982848
110,110,42,Higher Education,Married,Male,35.03780221
111,111,24,None Higher Education,Not Married,Male,43.20186051
112,112,38,Higher Education,Married,Male,37.88203462
113,113,56,Higher Education,Married,Male,25.78782598
114,114,28,Higher Education,Married,Female,36.30620556
115,115,36,Higher Education,Not Married,Female,28.60481722
116,116,53,None Higher Education,Married,Male,42.09012433
117,117,56,Higher Education,Married,Male,21.69964107
118,118,49,None Higher Education,Married,Male,48.19945465
119,119,55,Higher Education,Married,Male,17.76851239
120,120,22,Higher Education,Not Married,Male,20.8573197
121,121,21,Higher Education,Not Married,Female,40.05577701
122,122,40,None Higher Education,Married,Male,58.4402473
123,123,30,None Higher Education,Not Married,Male,57.58088058
124,124,29,None Higher Education,Married,Male,52.30092348
125,125,19,Higher Education,Not Married,Male,27.14283026
126,126,47,None Higher Education,Married,Female,59.55375903
127,127,20,Higher Education,Not Married,Female,31.59209016
128,128,31,None Higher Education,Married,Male,50.50673926
129,129,35,Higher Education,Married,Male,38.07917586
130,130,39,Higher Education,Not Married,Male,29.58700479
131,131,28,None Higher Education,Not Married,Female,39.83711687
132,132,24,Higher Education,Not Married,Female,15.00678615
133,133,38,Higher Education,Married,Male,23.51049615
134,134,37,None Higher Education,Married,Male,58.37526685
135,135,46,None Higher Education,Not Married,Female,56.97827161
136,136,38,Higher Education,Married,Male,26.71727799
137,137,43,Higher Education,Married,Male,33.82012424
138,138,27,None Higher Education,Married,Female,29.81544356
139,139,20,Higher Education,Not Married,Male,35.36565708
140,140,49,Higher Education,Married,Male,38.56376642
141,141,61,Higher Education,Married,Male,30.02858312
142,142,27,Higher Education,Not Married,Female,36.20340485
143,143,19,Higher Education,Not Married,Male,36.45012563
144,144,45,None Higher Education,Not Married,Female,44.59742001
145,145,70,Higher Education,Not Married,Male,10.17369101
146,146,31,Higher Education,Not Married,Female,42.09087596
147,147,22,Higher Education,Married,Male,26.60340329
148,148,36,Higher Education,Not Married,Female,38.38818018
149,149,64,None Higher Education,Married,Male,52.86326448
150,150,43,Higher Education,Not Married,Female,21.77725566
151,151,47,Higher Education,Not Married,Female,45.32720525
152,152,34,Higher Education,Not Married,Female,41.8452426
153,153,33,None Higher Education,Not Married,Female,67.41265447
154,154,21,Higher Education,Not Married,Male,23.21952415
155,155,52,Higher Education,Not Married,Male,35.69683546
156,156,48,Higher Education,Married,Male,18.8741586
157,157,23,None Higher Education,Not Married,Male,41.16953709
158,158,71,Higher Education,Not Married,Male,26.51185139
159,159,29,Higher Education,Not Married,Male,33.28023185
160,160,42,None Higher Education,Not Married,Male,61.56064996
161,161,68,None Higher Education,Not Married,Female,56.83566396
162,162,25,Higher Education,Not Married,Female,26.87424604
163,163,44,Higher Education,Not Married,Female,43.47608718
164,164,28,Higher Education,Not Married,Female,20.50964572
165,165,45,Higher Education,Married,Male,27.5416781
166,166,36,Higher Education,Not Married,Female,22.65342557
167,167,39,None Higher Education,Not Married,Male,51.10412998
168,168,46,Higher Education,Not Married,Male,40.33808435
169,169,18,None Higher Education,Not Married,Male,24.62725934
170,170,66,None Higher Education,Not Married,Female,48.58082062
171,171,27,Higher Education,Not Married,Male,27.62201555
172,172,28,Higher Education,Married,Male,34.50523047
173,173,51,Higher Education,Married,Male,34.67244621
174,174,27,None Higher Education,Not Married,Male,47.26862227
175,175,28,None Higher Education,Married,Male,48.77044585
176,176,27,Higher Education,Married,Female,21.02078261
177,177,21,Higher Education,Not Married,Male,9.500640838
178,178,34,Higher Education,Not Married,Male,24.61222562
179,179,18,Higher Education,Not Married,Male,37.14191496
180,180,33,None Higher Education,Married,Male,48.91650356
